libelle;text;forme;compte
ACTIPP 40mg Gél. Gastro-resistante Bt 16;ACTIPP 40mg Gél. Gastro-resistante Bt 16;gelule;7
ACTIPP 40mg Gél. Gastro-résistante Bt 28;ACTIPP 40mg Gél. Gastro-résistante Bt 28;gelule;7
ACTISOUFRE 4mg/50mg/10ml Susp.Buv. ou Nasale Bt 30Amp./ 10ml;ACTISOUFRE 4mg/50mg/10ml Susp.Buv. ou Nasale Bt 30Amp./ 10ml;sirop;7
ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl 100ml;ACTISOUFRE Sol. Pulv. Nas./Bucc. Fl 100ml;autre;7
ACTONEL 5mg Comp pell. Bt 28;ACTONEL 5mg Comp pell. Bt 28;comprime;7
ACTOPRIL 25mg Comp séc. Bt 60;ACTOPRIL 25mg Comp séc. Bt 60;comprime;7
ACTOPRIL 25mg Comp.Séc. Bt 500;ACTOPRIL 25mg Comp.Séc. Bt 500;comprime;7
ACTOPRIL 50mg Comp séc. Bt 30;ACTOPRIL 50mg Comp séc. Bt 30;comprime;7
ACTOPRIL 50mg Comp.Séc. Bt 60;ACTOPRIL 50mg Comp.Séc. Bt 60;comprime;7
ACTRAPID 100 UI/ml Sol. Inj. Fl 10ml (F);ACTRAPID 100 UI/ml Sol. Inj. Fl 10ml (F);injection;7
ACTRAPID 100 UI/ml Sol.Inj. Fl 10ml (F);ACTRAPID 100 UI/ml Sol.Inj. Fl 10ml (F);injection;7
ACTRAPID Penfill 100UI/ml Susp.Inj.Bt 5 Fl 3ml (F);ACTRAPID Penfill 100UI/ml Susp.Inj.Bt 5 Fl 3ml (F);injection;7
ACUILIX 20mg Comp séc. Bt 28;ACUILIX 20mg Comp séc. Bt 28;comprime;7
ACUITEL 20mg Comp.Enr.Séc. Bt 28;ACUITEL 20mg Comp.Enr.Séc. Bt 28;comprime;7
ACUITEL 5 5mg Comp.Enr.Séc. Bt 28;ACUITEL 5 5mg Comp.Enr.Séc. Bt 28;comprime;7
ACUPAN 20mg Sol.inj. Bt 5/2ml;ACUPAN 20mg Sol.inj. Bt 5/2ml;injection;7
ADALATE RETARD 20mg Comp. LP Bt 20;ADALATE RETARD 20mg Comp. LP Bt 20;comprime;7
ADALATE RETARD 20mg Comp. LP Bt 750;ADALATE RETARD 20mg Comp. LP Bt 750;comprime;7
ADENAFIL 50mg Comp.Pell.Séc. Bt 1;ADENAFIL 50mg Comp.Pell.Séc. Bt 1;comprime;7
ADENAFIL 50mg Comp.Pell.Séc. Bt 2;ADENAFIL 50mg Comp.Pell.Séc. Bt 2;comprime;7
ADENAFIL 50mg Comp.Pell.Séc. Bt 4;ADENAFIL 50mg Comp.Pell.Séc. Bt 4;comprime;7
ADEX 2,5mg Comp Bt 30;ADEX 2,5mg Comp Bt 30;comprime;7
ADEX LP 1.5mg Comp. à Libération Prolongée Bt 30;ADEX LP 1.5mg Comp. à Libération Prolongée Bt 30;comprime;7
ADIAZINE 500mg Comp. Bt 20;ADIAZINE 500mg Comp. Bt 20;comprime;7
ADOL 1000mg Comp.Séc. Bt 8;ADOL 1000mg Comp.Séc. Bt 8;comprime;7
ADOL 100mg/ml Gouttes Buv. Fl 15ml;ADOL 100mg/ml Gouttes Buv. Fl 15ml;sirop;7
ADOL 500mg Comp. Bt 15;ADOL 500mg Comp. Bt 15;comprime;7
ADOL 500mg Comp. Bt 150;ADOL 500mg Comp. Bt 150;comprime;7
ADOL EXTRA 500mg/65mg Comp.Pell. Bt 20;ADOL EXTRA 500mg/65mg Comp.Pell. Bt 20;comprime;7
ADOLINE 500mg Comp. Bt 10;ADOLINE 500mg Comp. Bt 10;comprime;7
ADOLINE 500mg Comp. Bt 20;ADOLINE 500mg Comp. Bt 20;comprime;7
ADOLINE FORT 400mg/25mg Comp. Bt 20;ADOLINE FORT 400mg/25mg Comp. Bt 20;comprime;7
ADONTAG 150mg Gél. Fl 14;ADONTAG 150mg Gél. Fl 14;gelule;7
ADONTAG 150mg Gél. Fl 28;ADONTAG 150mg Gél. Fl 28;gelule;7
ADONTAG 150mg Gél. Fl 56;ADONTAG 150mg Gél. Fl 56;gelule;7
ADONTAG 75mg Gél. Fl 30;ADONTAG 75mg Gél. Fl 30;gelule;7
ADRENALINE 0,1% 5mg/5ml Sol.Inj. Bt 10 Amp.;ADRENALINE 0,1% 5mg/5ml Sol.Inj. Bt 10 Amp.;injection;7
ADRENALINE 0,5mg/1ml Sol.Inj. Bt 10Amp.;ADRENALINE 0,5mg/1ml Sol.Inj. Bt 10Amp.;injection;7
ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml;ADRENALINE MEDIS sans conservateur 1mg/1ml Sol.Inj. Bt 10/1ml;injection;7
ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml;ADRENALINE SOPHARMA 1mg/ml Sol.Inj. Bt 10/1ml;injection;7
ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml;ADRENOL 1 (sans sulfites) 1mg/ml Sol.Inj. Bt 100/1ml;injection;7
ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F);ADRIBLASTINE 10mg/5ml Sol.P.Perf. Bt 1Fl/5ml (F);autre;7
ADRIBLASTINE 50mg/25ml Sol.P.Perf. Bt 1Fl/25ml (F);ADRIBLASTINE 50mg/25ml Sol.P.Perf. Bt 1Fl/25ml (F);autre;7
ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100;ADVAGRAF LP 0.5mg Gél. à libération prolongée Bt 100;gelule;7
ADYBREX 200mg Gél. Bt 10;ADYBREX 200mg Gél. Bt 10;gelule;7
ADYBREX 200mg Gél. Bt 30;ADYBREX 200mg Gél. Bt 30;gelule;7
AERIUS 0.5mg/ml Sirop Fl 150ml;AERIUS 0.5mg/ml Sirop Fl 150ml;sirop;7
AERIUS 5mg Comp.Pell. Bt 15;AERIUS 5mg Comp.Pell. Bt 15;comprime;7
AEROFOR 12µg Gél. Bt 30 +Inhalateur;AEROFOR 12µg Gél. Bt 30 +Inhalateur;gelule;7
AEROFOR 12µg Gél. Bt 60 +Inhalateur;AEROFOR 12µg Gél. Bt 60 +Inhalateur;gelule;7
AEROL 100µg Aérosol Fl 200 Doses;AEROL 100µg Aérosol Fl 200 Doses;autre;7
AEROL 100µg Aérosol Fl 200Doses;AEROL 100µg Aérosol Fl 200Doses;autre;7
AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur;AERONIDE 200µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur;gelule;7
AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur;AERONIDE 400µg Pdre P.Inha.Bucc. Bt 60 Gél. +Inhalateur;gelule;7
AFINITOR 10mg Comp. Bt 30;AFINITOR 10mg Comp. Bt 30;comprime;7
AFINITOR 5mg Comp. Bt 30;AFINITOR 5mg Comp. Bt 30;comprime;7
AFTAGEL Gel Buccal Tb 15ml;AFTAGEL Gel Buccal Tb 15ml;gel;7
AFUCID 2% Crème Derm. Tb 15gr;AFUCID 2% Crème Derm. Tb 15gr;pommade;7
AFUCID 250mg Comp. Bt 10;AFUCID 250mg Comp. Bt 10;comprime;7
AFUSIDIC 2% Crème Derm. Tb 15gr;AFUSIDIC 2% Crème Derm. Tb 15gr;pommade;7
AFUSIDIC 2% Crème Derm.Tb 15gr;AFUSIDIC 2% Crème Derm.Tb 15gr;pommade;7
AFUSIDIC 2% Pde.Derm. Tb 15gr;AFUSIDIC 2% Pde.Derm. Tb 15gr;pommade;7
AFUSIDIC 250mg Comp.Pell. Bt 10;AFUSIDIC 250mg Comp.Pell. Bt 10;comprime;7
AFUSIDIC 250mg Comp.Pell. Bt 20;AFUSIDIC 250mg Comp.Pell. Bt 20;comprime;7
AFUSIDIC PLUS 2% Crème Derm. Tb 15gr;AFUSIDIC PLUS 2% Crème Derm. Tb 15gr;pommade;7
AGGRASTAT 0,25mg/ml Sol.P.Perf. Bt 1Fl/50ml;AGGRASTAT 0,25mg/ml Sol.P.Perf. Bt 1Fl/50ml;autre;7
AGRIPPAL S1 Susp.Inj. Bt 1Ser./0.5ml (F);AGRIPPAL S1 Susp.Inj. Bt 1Ser./0.5ml (F);injection;7
AIMAFIX 50UI/10ml Pdre. P. Prép. Inj 1Fl Pdre + Solv./10ml + Kit (F);AIMAFIX 50UI/10ml Pdre. P. Prép. Inj 1Fl Pdre + Solv./10ml + Kit (F);poudre;7
AKINETON LP 4mg Comp.Pell. Bt 30;AKINETON LP 4mg Comp.Pell. Bt 30;comprime;7
AKIRIDEN LP 4mg Comp. à Libération Prolongée Bt 30;AKIRIDEN LP 4mg Comp. à Libération Prolongée Bt 30;comprime;7
AKLONIL 2mg Comp séc. Bt 40;AKLONIL 2mg Comp séc. Bt 40;comprime;7
AKTONATE 35mg Comp.Pell. Bt 12;AKTONATE 35mg Comp.Pell. Bt 12;comprime;7
AKTONATE 35mg Comp.Pell. Bt 4;AKTONATE 35mg Comp.Pell. Bt 4;comprime;7
ALBUNORM 20% Sol.Inj.P.Perf. Bt 1Fl/50ml;ALBUNORM 20% Sol.Inj.P.Perf. Bt 1Fl/50ml;injection;7
ALBUTOL 2mg Comp. Bt 120;ALBUTOL 2mg Comp. Bt 120;comprime;7
ALBUTOL 2mg Comp. Bt 30;ALBUTOL 2mg Comp. Bt 30;comprime;7
ALDACTAZINE 25mg Comp.Séc. Bt 30;ALDACTAZINE 25mg Comp.Séc. Bt 30;comprime;7
ALDACTONE 25mg Comp.Séc. Bt 30;ALDACTONE 25mg Comp.Séc. Bt 30;comprime;7
ALDACTONE 50mg Comp.Séc. Bt 30;ALDACTONE 50mg Comp.Séc. Bt 30;comprime;7
ALDACTONE 75mg Comp.Pell.Séc. Bt 30;ALDACTONE 75mg Comp.Pell.Séc. Bt 30;comprime;7
ALERGOSONE 0.5mg/ml Gttes.Buv. Fl 30ml;ALERGOSONE 0.5mg/ml Gttes.Buv. Fl 30ml;sirop;7
ALEZINE 5mg Comp.Orodispers. Bt 18;ALEZINE 5mg Comp.Orodispers. Bt 18;comprime;7
ALGESAL SURACTIVE Baume Tb 60gr;ALGESAL SURACTIVE Baume Tb 60gr;autre;7
ALGESIC 1000mg Comp.Séc. Bt 8;ALGESIC 1000mg Comp.Séc. Bt 8;comprime;7
ALGESIC 500mg Comp.Séc. Bt 20;ALGESIC 500mg Comp.Séc. Bt 20;comprime;7
ALGESIC EXTRA 500mg/65mg Comp.Pell.Séc. Bt 16;ALGESIC EXTRA 500mg/65mg Comp.Pell.Séc. Bt 16;comprime;7
ALGESIC PLUS 500mg/12.8mg Comp.Séc. Bt 16;ALGESIC PLUS 500mg/12.8mg Comp.Séc. Bt 16;comprime;7
ALGESIC RHUME 500mg/25mg/5mg Comp.Pell. Bt 16;ALGESIC RHUME 500mg/25mg/5mg Comp.Pell. Bt 16;comprime;7
ALGIBREX 200mg Gél. Bt 10;ALGIBREX 200mg Gél. Bt 10;gelule;7
ALGIBREX 200mg Gél. Bt 20;ALGIBREX 200mg Gél. Bt 20;gelule;7
ALGIBREX 200mg Gél. Bt 30;ALGIBREX 200mg Gél. Bt 30;gelule;7
ALKERAN 2mg Comp. Bt 50 (F);ALKERAN 2mg Comp. Bt 50 (F);comprime;7
ALKERAN 50mg/10ml Sol.Inj. Bt 1 Amp.;ALKERAN 50mg/10ml Sol.Inj. Bt 1 Amp.;injection;7
ALLERGAMINE 0.5mg/5ml Sirop Fl 125ml;ALLERGAMINE 0.5mg/5ml Sirop Fl 125ml;sirop;7
ALLERGICA 0,1% Sirop Fl 150ml;ALLERGICA 0,1% Sirop Fl 150ml;sirop;7
ALLERGICA 10mg Comp Bt 10;ALLERGICA 10mg Comp Bt 10;comprime;7
ALLERGICA 10mg Comp. Bt 20;ALLERGICA 10mg Comp. Bt 20;comprime;7
ALLERGICA 10mg Comp. Bt 30;ALLERGICA 10mg Comp. Bt 30;comprime;7
ALLERGIFLASH 0.05% Collyre Bt 10Récipients Unidoses /0.3ml;ALLERGIFLASH 0.05% Collyre Bt 10Récipients Unidoses /0.3ml;gouttes;7
ALLERGODIL 127 µG/Dose Spray Nas. Fl 17ml+PD;ALLERGODIL 127 µG/Dose Spray Nas. Fl 17ml+PD;autre;7
ALLERGUS 0.5mg/ml Sirop Fl 150ml;ALLERGUS 0.5mg/ml Sirop Fl 150ml;sirop;7
ALLERGUS 5mg Comp. Pell. Bt 15;ALLERGUS 5mg Comp. Pell. Bt 15;comprime;7
ALLERGUS 5mg Comp. Pell. Bt 30;ALLERGUS 5mg Comp. Pell. Bt 30;comprime;7
ALLERGUS 5mg Comp.Pell. Bt 5;ALLERGUS 5mg Comp.Pell. Bt 5;comprime;7
ALLERGY-STOP 5mg Comp.Pell. Bt 15;ALLERGY-STOP 5mg Comp.Pell. Bt 15;comprime;7
ALLERGY-STOP 5mg Comp.Pell. Bt 30;ALLERGY-STOP 5mg Comp.Pell. Bt 30;comprime;7
ALLERTEC 10mg Comp.Séc. Bt 15;ALLERTEC 10mg Comp.Séc. Bt 15;comprime;7
ALLERTEC 10mg Comp.Séc. Bt 30;ALLERTEC 10mg Comp.Séc. Bt 30;comprime;7
ALLERTEC 10mg Comp.Séc. Bt 7;ALLERTEC 10mg Comp.Séc. Bt 7;comprime;7
ALOPEXY 2% Sol.Ext. Fl 120ml + Pipette + Pompe;ALOPEXY 2% Sol.Ext. Fl 120ml + Pipette + Pompe;autre;7
ALOPEXY 5% Sol.Ext. Fl 120ml + Pipette + Pompe;ALOPEXY 5% Sol.Ext. Fl 120ml + Pipette + Pompe;autre;7
ALPHA-GLUCOFF 100mg Comp. Bt 90;ALPHA-GLUCOFF 100mg Comp. Bt 90;comprime;7
ALPHA-GLUCOFF 50mg Comp. Bt 90;ALPHA-GLUCOFF 50mg Comp. Bt 90;comprime;7
ALPHACOL 0.2% Collyre Bt 30 Opht. /0.3ml;ALPHACOL 0.2% Collyre Bt 30 Opht. /0.3ml;gouttes;7
ALPHACOL FREE 0.2% Collyre Fl 5ml;ALPHACOL FREE 0.2% Collyre Fl 5ml;gouttes;7
ALPHAGAN 0,2% Collyre Fl 5ml;ALPHAGAN 0,2% Collyre Fl 5ml;gouttes;7
ALPRESS LP 2,5mg Comp. Bt 30;ALPRESS LP 2,5mg Comp. Bt 30;comprime;7
ALPRESS LP 5mg Comp. LP Bt 30;ALPRESS LP 5mg Comp. LP Bt 30;comprime;7
ALUSTAL DPT + DF Coffret Traitement (0,01-0,1-1-10)IR (F);ALUSTAL DPT + DF Coffret Traitement (0,01-0,1-1-10)IR (F);autre;7
ALUSTAL DPT/DF Bt 1Fl/ 10IR (F);ALUSTAL DPT/DF Bt 1Fl/ 10IR (F);autre;7
ALUVIA 200mg/50mg Comp.Pell. Bt 120;ALUVIA 200mg/50mg Comp.Pell. Bt 120;comprime;7
ALZHECEPT 10 10mg Comp.Pell. Bt 30;ALZHECEPT 10 10mg Comp.Pell. Bt 30;comprime;7
ALZHECEPT 5 5mg Comp.Pell. Bt 30;ALZHECEPT 5 5mg Comp.Pell. Bt 30;comprime;7
ALZOR 2% Collyre Fl 5ml;ALZOR 2% Collyre Fl 5ml;gouttes;7
ALZOR 3M 2% Collyre Fl 5ml;ALZOR 3M 2% Collyre Fl 5ml;gouttes;7
AMANTADINE-NEURAXPHARMA 100mg Gél. Bt 100;AMANTADINE-NEURAXPHARMA 100mg Gél. Bt 100;gelule;7
AMANTEX 100mg Gél. Bt 50;AMANTEX 100mg Gél. Bt 50;gelule;7
AMAREL 1mg Comp. Bt 30;AMAREL 1mg Comp. Bt 30;comprime;7
AMAREL 2mg Comp. Bt 30;AMAREL 2mg Comp. Bt 30;comprime;7
AMAREL 3mg Comp. Bt 30;AMAREL 3mg Comp. Bt 30;comprime;7
AMAREL 4mg Comp. Bt 30;AMAREL 4mg Comp. Bt 30;comprime;7
AMAREL 6mg Comp. Bt 30;AMAREL 6mg Comp. Bt 30;comprime;7
AMARYL M 2mg/500mg Comp.Pell. Bt 30;AMARYL M 2mg/500mg Comp.Pell. Bt 30;comprime;7
AMBROGAM 0.3%  0.3% Sol.Buv. Fl 150ml;AMBROGAM 0.3%  0.3% Sol.Buv. Fl 150ml;sirop;7
AMBROGAM 0.6% Sol.Buv. Fl 150ml;AMBROGAM 0.6% Sol.Buv. Fl 150ml;sirop;7
AMBROSIA / PRICK TEST Fl  3ml;AMBROSIA / PRICK TEST Fl  3ml;autre;7
AMIKOZIT ZENTIVA 500mg/2ml Sol.Inj. Bt 1Amp.;AMIKOZIT ZENTIVA 500mg/2ml Sol.Inj. Bt 1Amp.;injection;7
AMIOCARD 200mg Comp.Séc. Bt 30;AMIOCARD 200mg Comp.Séc. Bt 30;comprime;7
AMIPRIDE 200 200mg Comp.Séc. Bt 30;AMIPRIDE 200 200mg Comp.Séc. Bt 30;comprime;7
AMIPRIDE 400 400mg Comp.Pell.Séc. Bt 30;AMIPRIDE 400 400mg Comp.Pell.Séc. Bt 30;comprime;7
AMLODEP 5mg Comp. Bt 30;AMLODEP 5mg Comp. Bt 30;comprime;7
AMLODEP 5mg Comp. Bt 60;AMLODEP 5mg Comp. Bt 60;comprime;7
AMLODIPINE ZENTIVA 10mg Comp Séc. Bt 30;AMLODIPINE ZENTIVA 10mg Comp Séc. Bt 30;comprime;7
AMLODIPINE ZENTIVA 5mg Comp Séc. Bt 30;AMLODIPINE ZENTIVA 5mg Comp Séc. Bt 30;comprime;7
AMLODIS 10mg Comp. Bt 30;AMLODIS 10mg Comp. Bt 30;comprime;7
AMLODIS 10mg Comp. Bt 90;AMLODIS 10mg Comp. Bt 90;comprime;7
AMLODIS 5mg Comp. Bt 30;AMLODIS 5mg Comp. Bt 30;comprime;7
AMLODIS 5mg Comp. Bt 60;AMLODIS 5mg Comp. Bt 60;comprime;7
AMLODIS 5mg Comp. Bt 90;AMLODIS 5mg Comp. Bt 90;comprime;7
AMLOR 10mg Gél. Bt 30;AMLOR 10mg Gél. Bt 30;gelule;7
AMLOR 5mg Comp. Bt 30;AMLOR 5mg Comp. Bt 30;comprime;7
AMLOR 5mg Comp. Bt 60;AMLOR 5mg Comp. Bt 60;comprime;7
AMLOR 5mg Comp. Bt 90;AMLOR 5mg Comp. Bt 90;comprime;7
AMLOSARTAN ZENTIVA 10mg/160mg Comp.Pell. Bt 30;AMLOSARTAN ZENTIVA 10mg/160mg Comp.Pell. Bt 30;comprime;7
AMLOSARTAN ZENTIVA 5mg/160mg Comp.Pell. Bt 30;AMLOSARTAN ZENTIVA 5mg/160mg Comp.Pell. Bt 30;comprime;7
AMLOVAR 10mg/160mg Comp.Pell. Bt 30;AMLOVAR 10mg/160mg Comp.Pell. Bt 30;comprime;7
AMLOVAR 5mg/160mg Comp.Pell. Bt 30;AMLOVAR 5mg/160mg Comp.Pell. Bt 30;comprime;7
AMLOVAR 5mg/80mg Comp.Pell. Bt 30;AMLOVAR 5mg/80mg Comp.Pell. Bt 30;comprime;7
AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml + Ser. doseuse;AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 30ml + Ser. doseuse;poudre;7
AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml + Ser. doseuse;AMOCLAN 100mg/12.5mg/ml Pdre.P.Susp.Or. Fl 60ml + Ser. doseuse;poudre;7
AMOCLAN 1gr/125mg  Pdre.P.Susp.Or. Bt 24 Sachets-doses;AMOCLAN 1gr/125mg  Pdre.P.Susp.Or. Bt 24 Sachets-doses;poudre;7
AMOCLAN 1gr/125mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses;AMOCLAN 1gr/125mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses;poudre;7
AMOCLAN 500mg/62.5mg Comp.Pell. Fl 12;AMOCLAN 500mg/62.5mg Comp.Pell. Fl 12;comprime;7
AMOCLAN 500mg/62.5mg Comp.Pell. Fl 24;AMOCLAN 500mg/62.5mg Comp.Pell. Fl 24;comprime;7
AMOCLAN 500mg/62.5mg Pdre. P. Susp. Or. Bt 24 Sachets-Doses;AMOCLAN 500mg/62.5mg Pdre. P. Susp. Or. Bt 24 Sachets-Doses;poudre;7
AMOCLAN 500mg/62.5mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses;AMOCLAN 500mg/62.5mg Pdre.P.Susp.Or. Bt 12 Sachets-Doses;poudre;7
AMOXAL 1gr Comp.Disper. Bt 14;AMOXAL 1gr Comp.Disper. Bt 14;comprime;7
AMOXAL 250mg Pdre.P.Susp.Or. Fl 100ml;AMOXAL 250mg Pdre.P.Susp.Or. Fl 100ml;poudre;7
AMOXAL 500mg Comp. Bt 500;AMOXAL 500mg Comp. Bt 500;comprime;7
AMOXAL 500mg Comp.Disper. Bt 24;AMOXAL 500mg Comp.Disper. Bt 24;comprime;7
AMOXI-CLAV SANOFI 1000mg/125mg Pdre.P.Susp.Or. Bt 24 Sachets;AMOXI-CLAV SANOFI 1000mg/125mg Pdre.P.Susp.Or. Bt 24 Sachets;poudre;7
AMOXI-CLAV SANOFI 1000mg/125mg Pdre.Susp.Or. Bt 12 Sachets;AMOXI-CLAV SANOFI 1000mg/125mg Pdre.Susp.Or. Bt 12 Sachets;poudre;7
AMOXI-CLAV SANOFI AD. 500mg/62.5mg Comp.Pell. Bt 24;AMOXI-CLAV SANOFI AD. 500mg/62.5mg Comp.Pell. Bt 24;comprime;7
AMOXI-CLAV SANOFI Enf. 100mg/12.5mg/ml Pdre Susp.Or. Fl 60ml+pip.;AMOXI-CLAV SANOFI Enf. 100mg/12.5mg/ml Pdre Susp.Or. Fl 60ml+pip.;poudre;7
AMOXI-CLAV SANOFI Nourr. 100mg/12.5mg/ml Pdre Susp.Or. Fl 30ml+pip.;AMOXI-CLAV SANOFI Nourr. 100mg/12.5mg/ml Pdre Susp.Or. Fl 30ml+pip.;poudre;7
AMOXICILLINE ZENTIVA 1gr Comp.Disp. Bt 12;AMOXICILLINE ZENTIVA 1gr Comp.Disp. Bt 12;comprime;7
AMOXICILLINE ZENTIVA 250mg/5ml Pdre.Susp.Or. Fl 60ml + Cuil/Dos;AMOXICILLINE ZENTIVA 250mg/5ml Pdre.Susp.Or. Fl 60ml + Cuil/Dos;poudre;7
AMOXICILLINE ZENTIVA 500mg Gél. Bt 12;AMOXICILLINE ZENTIVA 500mg Gél. Bt 12;gelule;7
AMOXICILLINE ZENTIVA 500mg Gél. Bt 24;AMOXICILLINE ZENTIVA 500mg Gél. Bt 24;gelule;7
AMOXICILLINE ZENTIVA 500mg/5ml Pdre.Susp.Or. Fl 60ml+Cuill.Dos.;AMOXICILLINE ZENTIVA 500mg/5ml Pdre.Susp.Or. Fl 60ml+Cuill.Dos.;poudre;7
AMOXIL 0,5gr Pdre.Prép.Inj Bt 1+S/5ml;AMOXIL 0,5gr Pdre.Prép.Inj Bt 1+S/5ml;poudre;7
