compte;libelle;text
7;ACETYLSALICYLIQUE ACIDE - ASPIRINE PH 8 Comp pell  500mg Bt 20;ACETYLSALICYLIQUE ACIDE - ASPIRINE PH 8 Comp pell  500mg Bt 20
7;ACETYLSALICYLIQUE ACIDE - SINASPIR Comp 500mg Bt 500;ACETYLSALICYLIQUE ACIDE - SINASPIR Comp 500mg Bt 500
7;ASCORBIQUE ACIDE  # - ACIDE ASCORBIQUE 500mg/5ml Sol.Inj  Bt 100;ASCORBIQUE ACIDE  # - ACIDE ASCORBIQUE 500mg/5ml Sol.Inj  Bt 100
7;ASCORBIQUE ACIDE  # - ACIDE ASCORBIQUE 500mg/5ml Sol.Inj. Bt 100;ASCORBIQUE ACIDE  # - ACIDE ASCORBIQUE 500mg/5ml Sol.Inj. Bt 100
7;ASCORBIQUE ACIDE  # - ACIDE ASCORBIQUE Sol Inj 500mg/5ml Bt100 #;ASCORBIQUE ACIDE  # - ACIDE ASCORBIQUE Sol Inj 500mg/5ml Bt100 #
7;ASCORBIQUE ACIDE  # - LAROSCORBINE Amp inj 500mg Bt 30  #;ASCORBIQUE ACIDE  # - LAROSCORBINE Amp inj 500mg Bt 30  #
7;ASCORBIQUE ACIDE  # - VITAMINE C Amp inj 500 mg Bt 10x5ml  #;ASCORBIQUE ACIDE  # - VITAMINE C Amp inj 500 mg Bt 10x5ml  #
7;ASCORBIQUE ACIDE - VITAMINE C Comp 500mg Bt 500;ASCORBIQUE ACIDE - VITAMINE C Comp 500mg Bt 500
7;FOLIQUE ACIDE - FOLICUM Comp 5mg Bt 20;FOLIQUE ACIDE - FOLICUM Comp 5mg Bt 20
7;FOLIQUE ACIDE - FOLICUM Comp 5mg Bt 20 Vrac;FOLIQUE ACIDE - FOLICUM Comp 5mg Bt 20 Vrac
7;FOLIQUE ACIDE - FOLICUM Comp 5mg Bt 20x50;FOLIQUE ACIDE - FOLICUM Comp 5mg Bt 20x50
7;NIFLUMIQUE ACIDE - INFLOCINE  Pde Derm 3% Tb 60gr;NIFLUMIQUE ACIDE - INFLOCINE  Pde Derm 3% Tb 60gr
7;NIFLUMIQUE ACIDE - NIFLUDERM 3% Crème Derm. Tb 60gr;NIFLUMIQUE ACIDE - NIFLUDERM 3% Crème Derm. Tb 60gr
7;NIFLUMIQUE ACIDE - NIFLUMIC Crème Derm 3% Tb 60gr;NIFLUMIQUE ACIDE - NIFLUMIC Crème Derm 3% Tb 60gr
7;NIFLUMIQUE ACIDE - NIFLURIL  Pde Derm 3% Tb 60gr;NIFLUMIQUE ACIDE - NIFLURIL  Pde Derm 3% Tb 60gr
7;QUINOLONE 1ERE GENE. - ACIDE NALIDIXIQUE Comp séc 500mg Bt 40;QUINOLONE 1ERE GENE. - ACIDE NALIDIXIQUE Comp séc 500mg Bt 40
7;QUINOLONE 1ERE GENE. - NALIDIX Comp 500mg Bt 56;QUINOLONE 1ERE GENE. - NALIDIX Comp 500mg Bt 56
7;ADRENALINE #* - ADRENALINE 1mg/ml Sol inj Bt 10/1ml #*;ADRENALINE #* - ADRENALINE 1mg/ml Sol inj Bt 10/1ml #*
7;ADRENALINE #* - ADRENALINE Amp Inj 1mg/5ml Bt 100  #*;ADRENALINE #* - ADRENALINE Amp Inj 1mg/5ml Bt 100  #*
7;ADRENALINE #* - ADRENALINE Amp inj 1mg/5ml Bt 100  #*;ADRENALINE #* - ADRENALINE Amp inj 1mg/5ml Bt 100  #*
7;ADRENALINE #* - ADRENALINE Amp Inj 1mg/ml Bt 100  #*;ADRENALINE #* - ADRENALINE Amp Inj 1mg/ml Bt 100  #*
7;ADRENALINE #* - ADRENALINE Sol Inj 0,1% Bt 100 Amp/1ml #*;ADRENALINE #* - ADRENALINE Sol Inj 0,1% Bt 100 Amp/1ml #*
7;ADRENALINE #* - ADRENALINE Sol Inj 1mg/1ml Amp Bt 50  #*;ADRENALINE #* - ADRENALINE Sol Inj 1mg/1ml Amp Bt 50  #*
7;ALLOPURINOL - PURINOL 100 Comp 100mg Bt 100;ALLOPURINOL - PURINOL 100 Comp 100mg Bt 100
7;ALLOPURINOL - PURINOL 100 Comp 100mg Bt 50;ALLOPURINOL - PURINOL 100 Comp 100mg Bt 50
7;ALLOPURINOL - PURINOL 100 Comp séc 100mg Bt 30;ALLOPURINOL - PURINOL 100 Comp séc 100mg Bt 30
7;ALLOPURINOL - PURINOL 300 Comp séc 300mg Bt 50;ALLOPURINOL - PURINOL 300 Comp séc 300mg Bt 50
7;ALPHA-AMYLASE - MAXILASE Sirop 20000U% Fl 125ml;ALPHA-AMYLASE - MAXILASE Sirop 20000U% Fl 125ml
7;ALPHA-AMYLASE - MAXILASE Sirop 20000U/100ml Fl 125ml;ALPHA-AMYLASE - MAXILASE Sirop 20000U/100ml Fl 125ml
7;ALPHA-AMYLASE - MAXILASE Sirop Fl 125ml;ALPHA-AMYLASE - MAXILASE Sirop Fl 125ml
7;ALPHA-AMYLASE - SUPRAMYLASE Sirop 1000UI/5ml Fl 125ml;ALPHA-AMYLASE - SUPRAMYLASE Sirop 1000UI/5ml Fl 125ml
7;ALPHA-METHYL DOPA - ALDOMET Comp 250mg Bt 100;ALPHA-METHYL DOPA - ALDOMET Comp 250mg Bt 100
7;ALPHA-METHYL DOPA - DOPANORE  Comp 250mg Bt 150;ALPHA-METHYL DOPA - DOPANORE  Comp 250mg Bt 150
7;ALPHA-METHYL DOPA - DOPANORE Comp enr 250mg Bt 100;ALPHA-METHYL DOPA - DOPANORE Comp enr 250mg Bt 100
7;ALPHA-METHYL DOPA - DOPEGYT Comp 250mg Bt 30;ALPHA-METHYL DOPA - DOPEGYT Comp 250mg Bt 30
7;ALPHA-METHYL DOPA - METHYLDOPA Comp pell 250mg Bt 100;ALPHA-METHYL DOPA - METHYLDOPA Comp pell 250mg Bt 100
7;ALUMINIUM MAGNESIUM HYDROXYDE - ANTACID Susp Buv Fl 180ml;ALUMINIUM MAGNESIUM HYDROXYDE - ANTACID Susp Buv Fl 180ml
7;ALUMINIUM MAGNESIUM HYDROXYDE - GASTRAMYL Susp buv Fl 200ml;ALUMINIUM MAGNESIUM HYDROXYDE - GASTRAMYL Susp buv Fl 200ml
7;AMANTADINE  # - MANTADIX 100 mg Gél. Bt 50;AMANTADINE  # - MANTADIX 100 mg Gél. Bt 50
7;AMANTADINE  # - MANTADIX Gélule  100mg Bt 50  #;AMANTADINE  # - MANTADIX Gélule  100mg Bt 50  #
7;AMANTADINE  # - MANTADIX Gélule 100mg Bt 50  #;AMANTADINE  # - MANTADIX Gélule 100mg Bt 50  #
7;AMANTADINE  # - VIREGYT K Gélule 100mg Bt 50  #;AMANTADINE  # - VIREGYT K Gélule 100mg Bt 50  #
7;AMIKACINE  * - PIERAMI Fl Inj 250mg Bt 1+1  *;AMIKACINE  * - PIERAMI Fl Inj 250mg Bt 1+1  *
7;AMIKACINE  * - PIERAMI Fl inj 250mg Bt 100  *;AMIKACINE  * - PIERAMI Fl inj 250mg Bt 100  *
7;AMIKACINE #* - AMIKOZIT Fl Inj 500mg/2ml Bt 1 #*;AMIKACINE #* - AMIKOZIT Fl Inj 500mg/2ml Bt 1 #*
7;AMIKACINE #* - MIACIN Amp Inj  500mg/2ml Bt 6  #*;AMIKACINE #* - MIACIN Amp Inj  500mg/2ml Bt 6  #*
7;AMIKACINE #* - PIERAMI Fl inj 500mg Bt 1+1  #*;AMIKACINE #* - PIERAMI Fl inj 500mg Bt 1+1  #*
7;AMIKACINE #* - PIERAMI Fl inj 500mg Bt 100  #*;AMIKACINE #* - PIERAMI Fl inj 500mg Bt 100  #*
7;AMIODARONE CHLORHYDRATE  * - AMIODARONE AGUETTANT 50mg/ml Sol inj Bt 10/3ml *;AMIODARONE CHLORHYDRATE  * - AMIODARONE AGUETTANT 50mg/ml Sol inj Bt 10/3ml *
7;AMIODARONE CHLORHYDRATE  * - CORDARONE Amp Inj 150mg/3ml Bt 6  *;AMIODARONE CHLORHYDRATE  * - CORDARONE Amp Inj 150mg/3ml Bt 6  *
7;AMIODARONE CHLORHYDRATE  * - SEDACORON Amp Inj 150mg/3ml Bt 5  *;AMIODARONE CHLORHYDRATE  * - SEDACORON Amp Inj 150mg/3ml Bt 5  *
7;AMIODARONE CHLORHYDRATE - AMIOCARD 200mg Comp.Séc. Bt 30;AMIODARONE CHLORHYDRATE - AMIOCARD 200mg Comp.Séc. Bt 30
7;AMIODARONE CHLORHYDRATE - AMIODARONE MEDO Comp 200mg Bt 30;AMIODARONE CHLORHYDRATE - AMIODARONE MEDO Comp 200mg Bt 30
7;AMIODARONE CHLORHYDRATE - CORDARONE Comp séc.200 mg Bt 30;AMIODARONE CHLORHYDRATE - CORDARONE Comp séc.200 mg Bt 30
7;AMIODARONE CHLORHYDRATE - SEDACORON Comp séc. 200mg Bt 50;AMIODARONE CHLORHYDRATE - SEDACORON Comp séc. 200mg Bt 50
7;AMITRIPTYLINE CHLORHYDRATE - AMYTRIL 10mg Comp.Pell. Bt 100;AMITRIPTYLINE CHLORHYDRATE - AMYTRIL 10mg Comp.Pell. Bt 100
7;AMITRIPTYLINE CHLORHYDRATE - APO-AMITRIPTYLINE Comp 10mg Bt 100;AMITRIPTYLINE CHLORHYDRATE - APO-AMITRIPTYLINE Comp 10mg Bt 100
7;AMITRIPTYLINE CHLORHYDRATE - MAXIVALET 10mg Comp drag. Bt 100;AMITRIPTYLINE CHLORHYDRATE - MAXIVALET 10mg Comp drag. Bt 100
7;AMITRIPTYLINE CHLORHYDRATE - AMYTRIL 25mg Comp.Pell. Bt 100;AMITRIPTYLINE CHLORHYDRATE - AMYTRIL 25mg Comp.Pell. Bt 100
7;AMITRIPTYLINE CHLORHYDRATE - APO-AMITRIPTYLINE Comp 25mg Bt 100;AMITRIPTYLINE CHLORHYDRATE - APO-AMITRIPTYLINE Comp 25mg Bt 100
7;AMOXICILLINE TRIHYDRATE - AMOXAL Comp 500mg Bt 500;AMOXICILLINE TRIHYDRATE - AMOXAL Comp 500mg Bt 500
7;AMOXICILLINE TRIHYDRATE - AMOXICILLINE WINTHROP 500mg Gél. Bt 24;AMOXICILLINE TRIHYDRATE - AMOXICILLINE WINTHROP 500mg Gél. Bt 24
7;AMOXICILLINE TRIHYDRATE - AMOXICILLINE WINTROP 500mg Gél. Bt 12;AMOXICILLINE TRIHYDRATE - AMOXICILLINE WINTROP 500mg Gél. Bt 12
7;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 250mg Bt 300;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 250mg Bt 300
7;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 250mg Bt 600;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 250mg Bt 600
7;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 500mg Bt 100;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 500mg Bt 100
7;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 500mg Bt 300;AMOXICILLINE TRIHYDRATE - AMOXIPEN Gélule 500mg Bt 300
7;AMOXICILLINE TRIHYDRATE - AMOXYDAR FORTE Comp 500mg Bt 500;AMOXICILLINE TRIHYDRATE - AMOXYDAR FORTE Comp 500mg Bt 500
7;AMOXICILLINE TRIHYDRATE - HICONCIL Gélule  500mg Bt 12;AMOXICILLINE TRIHYDRATE - HICONCIL Gélule  500mg Bt 12
7;AMOXICILLINE TRIHYDRATE - OSPAMOX Comp enr 500 mg Bt 100;AMOXICILLINE TRIHYDRATE - OSPAMOX Comp enr 500 mg Bt 100
7;AMOXICILLINE TRIHYDRATE - PENAMOX Gélule 500mg Bt 100;AMOXICILLINE TRIHYDRATE - PENAMOX Gélule 500mg Bt 100
7;AMOXICILLINE TRIHYDRATE - PENAMOX Gélule 500mg Bt 400;AMOXICILLINE TRIHYDRATE - PENAMOX Gélule 500mg Bt 400
7;AMOXICILLINE TRIHYDRATE - SAIFOXYL  Gél 500mg Bt 120;AMOXICILLINE TRIHYDRATE - SAIFOXYL  Gél 500mg Bt 120
7;AMOXICILLINE TRIHYDRATE - SAIFOXYL Comp pell 500mg Bt 120;AMOXICILLINE TRIHYDRATE - SAIFOXYL Comp pell 500mg Bt 120
7;AMOXICILLINE TRIHYDRATE - SAIFOXYL Gélule 250mg Bt 120;AMOXICILLINE TRIHYDRATE - SAIFOXYL Gélule 250mg Bt 120
7;AMOXICILLINE TRIHYDRATE - ULTRAMOX Gélule 500mg Bt 400;AMOXICILLINE TRIHYDRATE - ULTRAMOX Gélule 500mg Bt 400
7;AMOXICILLINE TRIHYDRATE - AMOXICILLINE WINTHROP 250mg/5ml Pdre.Susp.Or. Fl 60ml + Cuil/Dos;AMOXICILLINE TRIHYDRATE - AMOXICILLINE WINTHROP 250mg/5ml Pdre.Susp.Or. Fl 60ml + Cuil/Dos
7;AMOXICILLINE TRIHYDRATE - AMPICYN Pdre/susp Or.250mg Fl 60ml;AMOXICILLINE TRIHYDRATE - AMPICYN Pdre/susp Or.250mg Fl 60ml
7;AMOXICILLINE TRIHYDRATE - NOVAMOX 250mg/5ml Pdre. Susp. Or. Fl 60ml;AMOXICILLINE TRIHYDRATE - NOVAMOX 250mg/5ml Pdre. Susp. Or. Fl 60ml
7;AMOXICILLINE TRIHYDRATE - OSPAMOX  Pdre Susp Or 250mg/5ml Fl 60ml;AMOXICILLINE TRIHYDRATE - OSPAMOX  Pdre Susp Or 250mg/5ml Fl 60ml
7;AMOXICILLINE TRIHYDRATE - PENAMOX Pdre Susp Or 250mg/5ml Fl 100ml;AMOXICILLINE TRIHYDRATE - PENAMOX Pdre Susp Or 250mg/5ml Fl 100ml
7;AMOXICILLINE TRIHYDRATE - PENAMOX Pdre Susp Or 250mg/5ml Fl 60ml;AMOXICILLINE TRIHYDRATE - PENAMOX Pdre Susp Or 250mg/5ml Fl 60ml
7;AMOXICILLINE TRIHYDRATE - SAIFOXYL  Pdre Susp Or 250mg Fl 100ml;AMOXICILLINE TRIHYDRATE - SAIFOXYL  Pdre Susp Or 250mg Fl 100ml
7;AMOXICILLINE TRIHYDRATE - SAIFOXYL Glé/Susp Or 250mg/5ml Fl 60ml;AMOXICILLINE TRIHYDRATE - SAIFOXYL Glé/Susp Or 250mg/5ml Fl 60ml
7;AMOXICILLINE TRIHYDRATE - STANDACILLINE Pdre/sirop 125mg Fl 60ml;AMOXICILLINE TRIHYDRATE - STANDACILLINE Pdre/sirop 125mg Fl 60ml
7;AMOXICILLINE TRIHYDRATE - ULTRAMOX  Pdre Susp Or 250mg/5ml Fl 60ml;AMOXICILLINE TRIHYDRATE - ULTRAMOX  Pdre Susp Or 250mg/5ml Fl 60ml
7;AMPICILLINE SODIQUE - AMPICIL Pdre Inj 1gr Bt 27;AMPICILLINE SODIQUE - AMPICIL Pdre Inj 1gr Bt 25
7;AMPICILLINE SODIQUE - AMPICILLINE Fl inj 1gr vrac;AMPICILLINE SODIQUE - AMPICILLINE Fl inj 1gr vrac
7;AMPICILLINE SODIQUE - AMPICILLINE Pdre Inj 1gr Bt 10;AMPICILLINE SODIQUE - AMPICILLINE Pdre Inj 1gr Bt 10
7;AMPICILLINE SODIQUE - AMPICILLINE Pdre/prép inj 1gr Bt 100;AMPICILLINE SODIQUE - AMPICILLINE Pdre/prép inj 1gr Bt 100
7;AMPICILLINE SODIQUE - AMPICILLINE Pdre/Prép inj 1gr Bt 27;AMPICILLINE SODIQUE - AMPICILLINE Pdre/Prép inj 1gr Bt 25
7;AMPICILLINE SODIQUE - PAMECIL Pdre Inj 1gr Bt 100 Sans Solvant;AMPICILLINE SODIQUE - PAMECIL Pdre Inj 1gr Bt 100 Sans Solvant
7;AMPICILLINE SODIQUE - STANDACILLINE Fl inj 1gr Bt 100;AMPICILLINE SODIQUE - STANDACILLINE Fl inj 1gr Bt 100
7;AMPICILLINE SODIQUE - STANDACILLINE Fl inj 1gr vrac;AMPICILLINE SODIQUE - STANDACILLINE Fl inj 1gr vrac
7;ANTHELMINTIQUE (autre qu'albendazole) - COMBANTRIN Comp 125mg Bt 6;ANTHELMINTIQUE (autre qu'albendazole) - COMBANTRIN Comp 125mg Bt 6
7;ANTHELMINTIQUE (autre qu'albendazole) - HELMINTOX Comp sec 250mg Bt 3;ANTHELMINTIQUE (autre qu'albendazole) - HELMINTOX Comp sec 250mg Bt 3
7;ANTHELMINTIQUE (autre qu'albendazole) - HELMINTOX Comp séc.125mg Bt 6;ANTHELMINTIQUE (autre qu'albendazole) - HELMINTOX Comp séc.125mg Bt 6
7;ANTHELMINTIQUE (autre qu'albendazole) - POVANYL Comp enr. 50mg Bt 8;ANTHELMINTIQUE (autre qu'albendazole) - POVANYL Comp enr. 50mg Bt 8
7;ANTHELMINTIQUE (autre qu'albendazole) - VERMOX Comp 100mg Bt 6;ANTHELMINTIQUE (autre qu'albendazole) - VERMOX Comp 100mg Bt 6
7;ANTHELMINTIQUE (autre qu'albendazole) - HELMINTOX Susp Or 125mg/2,5ml Fl 15ml;ANTHELMINTIQUE (autre qu'albendazole) - HELMINTOX Susp Or 125mg/2,5ml Fl 15ml
7;ANTHELMINTIQUE (autre qu'albendazole) - POVANYL Susp buv 50mg/5ml Fl 35ml;ANTHELMINTIQUE (autre qu'albendazole) - POVANYL Susp buv 50mg/5ml Fl 35ml
7;ANTHELMINTIQUE (autre qu'albendazole) - PYRANTIN Susp Buv 125mg Fl 15ml;ANTHELMINTIQUE (autre qu'albendazole) - PYRANTIN Susp Buv 125mg Fl 15ml
7;ANTHELMINTIQUE (autre qu'albendazole) - VERMOX  Susp Buv 100mg/5ml Fl 30ml;ANTHELMINTIQUE (autre qu'albendazole) - VERMOX  Susp Buv 100mg/5ml Fl 30ml
7;ANTI H2* - ANTAGONINE Amp Inj 50mg/2ml Bt 5  *;ANTI H2* - ANTAGONINE Amp Inj 50mg/2ml Bt 5  *
7;ANTI H2* - MEXINE Amp Inj 150mg Bt 50  *;ANTI H2* - MEXINE Amp Inj 150mg Bt 50  *
7;ANTI H2* - MEXINE Amp Inj 200mg Bt 10/2ml  *;ANTI H2* - MEXINE Amp Inj 200mg Bt 10/2ml  *
7;ANTI H2 - CIMEDINE Comp 200mg Bt 50;ANTI H2 - CIMEDINE Comp 200mg Bt 50
7;ANTI H2 - FAMODAR Comp 40mg Bt 30;ANTI H2 - FAMODAR Comp 40mg Bt 30
7;ANTI H2 - FAMODAR Comp 40mg Bt 500;ANTI H2 - FAMODAR Comp 40mg Bt 500
7;ANTI H2 - FAMODINE 40 Comp 40mg Bt 30;ANTI H2 - FAMODINE 40 Comp 40mg Bt 30
7;ANTI H2 - FAMODINE Comp 20mg Bt 30;ANTI H2 - FAMODINE Comp 20mg Bt 30
7;ANTI H2 - GASTROSIDIN Comp 40mg Bt 120;ANTI H2 - GASTROSIDIN Comp 40mg Bt 120
7;ANTI H2 - GASTROSIDIN Comp 40mg Bt 30;ANTI H2 - GASTROSIDIN Comp 40mg Bt 30
7;ANTI H2 - GASTROSIDIN Comp pell. 40 mg Bt 30;ANTI H2 - GASTROSIDIN Comp pell. 40 mg Bt 30
7;ANTI H2 - ULDINE 40 Comp pell 40mg Bt 120;ANTI H2 - ULDINE 40 Comp pell 40mg Bt 120
7;ANTI H2 - ULDINE 40 Comp pell 40mg Bt 360;ANTI H2 - ULDINE 40 Comp pell 40mg Bt 360
7;DEXAMETHASONE/NEOMYCINE/POLYMYXINE B - BACICOLINE BACITRACINE Collyre Fl 5ml;DEXAMETHASONE/NEOMYCINE/POLYMYXINE B - BACICOLINE BACITRACINE Collyre Fl 5ml
7;DEXAMETHASONE/NEOMYCINE/POLYMYXINE B - P.N.D Collyre Fl 5ml;DEXAMETHASONE/NEOMYCINE/POLYMYXINE B - P.N.D Collyre Fl 5ml
7;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - BUCCABAIN Sol/bain de bouche Fl 125ml;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - BUCCABAIN Sol/bain de bouche Fl 125ml
7;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - COLLUXID Sol/Bain de Bouche Fl 120ml;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - COLLUXID Sol/Bain de Bouche Fl 120ml
7;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - GIVALEX Sol/ bain de bouche Fl 125ml;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - GIVALEX Sol/ bain de bouche Fl 125ml
7;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - HEXABAIN Sol/Bain de Bouche Fl 200ml;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - HEXABAIN Sol/Bain de Bouche Fl 200ml
7;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - HEXIDENT Bain de Bouche Fl 125ml;ANTISEPTIQUE avec (HEXETIDINE/CHLORHEXIDINE) - HEXIDENT Bain de Bouche Fl 125ml
7;ANTISEPTIQUE - BENZOSEPT Collyre Fl 5ml;ANTISEPTIQUE - BENZOSEPT Collyre Fl 5ml
7;ANTISEPTIQUE - DESOMEDINE Collyre 0,1% Fl 10ml;ANTISEPTIQUE - DESOMEDINE Collyre 0,1% Fl 10ml
7;ANTISEPTIQUE - VISIODIS Collyre 0,01% Fl 10ml;ANTISEPTIQUE - VISIODIS Collyre 0,01% Fl 10ml
7;ANTISEPTIQUE TENSIO-ACTIF* - ASEPSIL 10 Sol Derm  Fl 1l *;ANTISEPTIQUE TENSIO-ACTIF* - ASEPSIL 10 Sol Derm  Fl 1l *
7;ANTISEPTIQUE TENSIO-ACTIF* - BISTERYL  Sol Derm  Fl 1l *;ANTISEPTIQUE TENSIO-ACTIF* - BISTERYL  Sol Derm  Fl 1l *
7;ANTISEPTIQUE TENSIO-ACTIF* - TILL  Sol. Ext. Fl 200ml;ANTISEPTIQUE TENSIO-ACTIF* - TILL  Sol. Ext. Fl 200ml
7;ANTISEPTIQUE TENSIO-ACTIF* - TRICLOBACTER Sol Us Ext 1%  Fl 400ml  *;ANTISEPTIQUE TENSIO-ACTIF* - TRICLOBACTER Sol Us Ext 1%  Fl 400ml  *
7;ANTISEPTIQUE TENSIO-ACTIF* - TRICLOBACTER Sol Us Ext 1%  Fl 400ml*;ANTISEPTIQUE TENSIO-ACTIF* - TRICLOBACTER Sol Us Ext 1%  Fl 400ml*
7;ANTISPASMODIQUE A LA NORAMIDOPYRINE* - VISCERALGINE FORTE Amp Inj 5ml Bt 10  *;ANTISPASMODIQUE A LA NORAMIDOPYRINE* - VISCERALGINE FORTE Amp Inj 5ml Bt 10  *
7;ANTISPASMODIQUE A LA NORAMIDOPYRINE - VISCERALGINE FORTE Comp Bt 20;ANTISPASMODIQUE A LA NORAMIDOPYRINE - VISCERALGINE FORTE Comp Bt 20
7;ANTISPASMODIQUE A LA NORAMIDOPYRINE - VISCERALGINE FORTE Suppo Bt 10;ANTISPASMODIQUE A LA NORAMIDOPYRINE - VISCERALGINE FORTE Suppo Bt 10
7;APROTININE # - ANTAGOSAN Sol inj 250U.PH./50ml Bt 1;APROTININE # - ANTAGOSAN Sol inj 250U.PH./50ml Bt 1
7;APROTININE # - TRASYLOL Sol inj 500000 UIK Fl 50ml #;APROTININE # - TRASYLOL Sol inj 500000 UIK Fl 50ml #
7;APROTININE - ANTAGOSAN Sol inj 50U.PH./10ML I.V Bt 7;APROTININE - ANTAGOSAN Sol inj 50U.PH./10ML I.V Bt 5
7;ATENOLOL - ATENAD 50mg Comp. Pell. Séc. Bt 30;ATENOLOL - ATENAD 50mg Comp. Pell. Séc. Bt 30
7;ATENOLOL - HYPOTEN 50 Comp séc 50mg Bt 30;ATENOLOL - HYPOTEN 50 Comp séc 50mg Bt 30
7;ATENOLOL - HYPOTEN Comp 50mg Bt 28;ATENOLOL - HYPOTEN Comp 50mg Bt 28
7;ATENOLOL - VASCOTEN Comp séc. 50mg Bt 30;ATENOLOL - VASCOTEN Comp séc. 50mg Bt 30
7;ATENOLOL - ATENAD 100mg Comp.Pell.Séc. Bt 30;ATENOLOL - ATENAD 100mg Comp.Pell.Séc. Bt 30
7;ATENOLOL - HYPOTEN 100 Comp séc 100mg Bt 30;ATENOLOL - HYPOTEN 100 Comp séc 100mg Bt 30
7;ATENOLOL - HYPOTEN Comp 100mg Bt 14;ATENOLOL - HYPOTEN Comp 100mg Bt 14
7;ATENOLOL - VASCOTEN Comp séc. 100mg Bt 20;ATENOLOL - VASCOTEN Comp séc. 100mg Bt 20
7;ATRACURIUM BESYLATE  #* - ATRACURIUM 25 Amp Inj IV 25mg/2,5ml Bt 50 #*  (F);ATRACURIUM BESYLATE  #* - ATRACURIUM 25 Amp Inj IV 25mg/2,5ml Bt 50 #*  (F)
